Police_Station,population_estimate
FORT BEAUFORT,26818
FORT BROWN,1148
FOURIESBURG,18421
FRANKLIN,3929
FRANSCHHOEK,22535
FRASERBURG,4110
GALESHEWE,78685
GAMALAKHE,32834
GANS BAY,15208
GANYESA,55688
GA-RANKUWA,97751
GARIEPDAM,1763
GARIES,2699
GARSFONTEIN,101378
GELVANDALE,75022
GENADENDAL,10670
GEORGE,61715
GERMISTON,72346
GILEAD,53671
GINGINDLOVU,33605
GIYANI,229602
GLEN,1177
GLEN GREY,37897
GLENCOE,18592
GLENDALE,11600
GLUCKSTADT,20281
GOEDEMOED,974
GONUBIE,24727
GOODWOOD,43922
GORDONS BAY,16572
GOWAN LEA,22566
GRAAFF-REINET,41545
GRAAFWATER,4940
GRABOUW,42175
GRAHAMSTOWN,34997
GRASKOP,4836
GRASSY PARK,88628
GRAVELOTTE,4486
GREENWOOD PARK,71884
GREYLINGSTAD,8661
GREYTOWN,35430
GRIEKWASTAD,7397
GROBLERSDAL,21385
GROBLERSHOOP,16377
GROENVLEI,5254
GROOT BRAKRIVIER,21327
GROOT MARICO,14110
GROOT-DRAKENSTEIN,17218
GROOTVLEI,6706
GUGULETHU,124020
HAENERTSBURG,4957
HAMBURG,1918
HAMMANSKRAAL,53046
HAMMARSDALE,16561
HANKEY,13704
HANOVER,5415
HARARE,172475
HARBURG,13816
HARDING,94154
HARRISMITH,51032
HARTBEESFONTEIN,29647
HARTBEESPOORTDAM,37763
HARTEBEESKOP,11188
HARTSWATER,13353
HATTINGSPRUIT,8757
HAZYVIEW,39172
HEALDTOWN,5328
HEBRON,42052
HEIDEDAL,25424
HEIDELBERG (GP),25890
HEIDELBERG(C),15579
HEILBRON,30952
HEKPOORT,3932
HELPMEKAAR,23466
HENDERSON,841
HENDRINA,33064
HENNENMAN,26200
HERCULES,47330
HERMANUS,47845
HERTZOGVILLE,12803
HEUNINGSPRUIT,1369
HEUNINGVLEI,5677
HIBBERDENE,64184
HIGHFLATS,63173
HILLBROW,137778
HILLCREST,98660
HILTON-KZN,10873
HIMEVILLE,14915
HLABABOMVU,32223
HLABISA,33736
HLANGANANI,59317
HLOBANE,30055
HLOGOTLOU,77174
HLUHLUWE,66284
HOBHOUSE,4832
HOEDSPRUIT,34861
HOFMEYR,5067
HOGSBACK,1731
